Log File Title: Timaeus Log
Date and Time: 12-16-24 10:48:26 pm
----------------------------------------
[12-16-24 10:48:29 pm] Player position: XYZ { x: 32, y: 22, z: 10 }, Player angle_h: 0
[12-16-24 10:48:29 pm] Player position: XYZ { x: 32, y: 22, z: 9 }, Player angle_h: 0
[12-16-24 10:48:30 pm] Player position: XYZ { x: 32, y: 22, z: 8 }, Player angle_h: 0
[12-16-24 10:48:30 pm] Player position: XYZ { x: 32, y: 22, z: 7 }, Player angle_h: 0
[12-16-24 10:48:30 pm] Player position: XYZ { x: 32, y: 22, z: 6 }, Player angle_h: 0
[12-16-24 10:48:30 pm] Player position: XYZ { x: 32, y: 22, z: 5 }, Player angle_h: 0
[12-16-24 10:48:30 pm] Player position: XYZ { x: 32, y: 22, z: 4 }, Player angle_h: 0
[12-16-24 10:48:30 pm] Player position: XYZ { x: 32, y: 22, z: 3 }, Player angle_h: 0
[12-16-24 10:48:30 pm] Player position: XYZ { x: 32, y: 22, z: 2 }, Player angle_h: 0
[12-16-24 10:48:30 pm] Player position: XYZ { x: 32, y: 22, z: 1 }, Player angle_h: 0
[12-16-24 10:48:30 pm] Player position: XYZ { x: 32, y: 22, z: 0 }, Player angle_h: 0
[12-16-24 10:48:30 pm] Player position: XYZ { x: 32, y: 22, z: -1 }, Player angle_h: 0
[12-16-24 10:48:30 pm] Player position: XYZ { x: 32, y: 22, z: -2 }, Player angle_h: 0
[12-16-24 10:48:30 pm] Player position: XYZ { x: 32, y: 22, z: -3 }, Player angle_h: 0
[12-16-24 10:48:30 pm] Player position: XYZ { x: 32, y: 22, z: -4 }, Player angle_h: 0
[12-16-24 10:48:30 pm] Player position: XYZ { x: 32, y: 22, z: -5 }, Player angle_h: 0
[12-16-24 10:48:30 pm] Player position: XYZ { x: 32, y: 22, z: -6 }, Player angle_h: 0
[12-16-24 10:48:30 pm] Player position: XYZ { x: 32, y: 22, z: -7 }, Player angle_h: 0
[12-16-24 10:48:30 pm] Player position: XYZ { x: 32, y: 22, z: -8 }, Player angle_h: 0
[12-16-24 10:48:31 pm] Player position: XYZ { x: 32, y: 22, z: -9 }, Player angle_h: 0
[12-16-24 10:48:31 pm] Player position: XYZ { x: 32, y: 22, z: -10 }, Player angle_h: 0
[12-16-24 10:48:31 pm] Player position: XYZ { x: 32, y: 22, z: -11 }, Player angle_h: 0
[12-16-24 10:48:31 pm] Player position: XYZ { x: 32, y: 22, z: -12 }, Player angle_h: 0
[12-16-24 10:48:31 pm] Player position: XYZ { x: 32, y: 22, z: -13 }, Player angle_h: 0
[12-16-24 10:48:31 pm] Player position: XYZ { x: 32, y: 22, z: -14 }, Player angle_h: 0
[12-16-24 10:48:31 pm] Player position: XYZ { x: 32, y: 22, z: -15 }, Player angle_h: 0
[12-16-24 10:48:31 pm] Player position: XYZ { x: 32, y: 12, z: -15 }, Player angle_h: 0
[12-16-24 10:48:31 pm] Player position: XYZ { x: 32, y: 12, z: -14 }, Player angle_h: 0
[12-16-24 10:48:32 pm] Player position: XYZ { x: 32, y: 12, z: -13 }, Player angle_h: 0
[12-16-24 10:48:32 pm] Player position: XYZ { x: 32, y: 12, z: -12 }, Player angle_h: 0
[12-16-24 10:48:32 pm] Player position: XYZ { x: 32, y: 12, z: -11 }, Player angle_h: 0
[12-16-24 10:48:32 pm] Player position: XYZ { x: 32, y: 12, z: -10 }, Player angle_h: 0
[12-16-24 10:48:32 pm] Player position: XYZ { x: 32, y: 12, z: -9 }, Player angle_h: 0
[12-16-24 10:48:32 pm] Player position: XYZ { x: 32, y: 12, z: -8 }, Player angle_h: 0
[12-16-24 10:48:32 pm] Player position: XYZ { x: 32, y: 12, z: -7 }, Player angle_h: 0
[12-16-24 10:48:32 pm] Player position: XYZ { x: 32, y: 12, z: -6 }, Player angle_h: 0
[12-16-24 10:48:32 pm] Player position: XYZ { x: 32, y: 12, z: -5 }, Player angle_h: 0
[12-16-24 10:48:32 pm] Player position: XYZ { x: 32, y: 12, z: -4 }, Player angle_h: 0
[12-16-24 10:48:32 pm] Player position: XYZ { x: 32, y: 12, z: -3 }, Player angle_h: 0
[12-16-24 10:48:32 pm] Player position: XYZ { x: 32, y: 12, z: -2 }, Player angle_h: 0
[12-16-24 10:48:32 pm] Player position: XYZ { x: 32, y: 12, z: -1 }, Player angle_h: 0
[12-16-24 10:48:32 pm] Player position: XYZ { x: 32, y: 12, z: 0 }, Player angle_h: 0
[12-16-24 10:48:32 pm] Player position: XYZ { x: 32, y: 12, z: 1 }, Player angle_h: 0
[12-16-24 10:48:32 pm] Player position: XYZ { x: 32, y: 12, z: 2 }, Player angle_h: 0
[12-16-24 10:48:32 pm] Player position: XYZ { x: 32, y: 12, z: 3 }, Player angle_h: 0
[12-16-24 10:48:32 pm] Player position: XYZ { x: 32, y: 12, z: 4 }, Player angle_h: 0
[12-16-24 10:48:32 pm] Player position: XYZ { x: 32, y: 12, z: 5 }, Player angle_h: 0
[12-16-24 10:48:32 pm] Player position: XYZ { x: 32, y: 12, z: 6 }, Player angle_h: 0
[12-16-24 10:48:33 pm] Player position: XYZ { x: 32, y: 12, z: 7 }, Player angle_h: 0
[12-16-24 10:48:33 pm] Player position: XYZ { x: 32, y: 12, z: 8 }, Player angle_h: 0
[12-16-24 10:48:33 pm] Player position: XYZ { x: 32, y: 12, z: 9 }, Player angle_h: 0
[12-16-24 10:48:33 pm] Player position: XYZ { x: 32, y: 12, z: 10 }, Player angle_h: 0
[12-16-24 10:48:33 pm] Player position: XYZ { x: 32, y: 12, z: 11 }, Player angle_h: 0
[12-16-24 10:48:33 pm] Player position: XYZ { x: 32, y: 12, z: 12 }, Player angle_h: 0
[12-16-24 10:48:33 pm] Player position: XYZ { x: 32, y: 12, z: 13 }, Player angle_h: 0
[12-16-24 10:48:33 pm] Player position: XYZ { x: 32, y: 12, z: 14 }, Player angle_h: 0
[12-16-24 10:48:33 pm] Player position: XYZ { x: 32, y: 12, z: 15 }, Player angle_h: 0
[12-16-24 10:48:33 pm] Player position: XYZ { x: 32, y: 12, z: 16 }, Player angle_h: 0
[12-16-24 10:48:33 pm] Player position: XYZ { x: 32, y: 12, z: 17 }, Player angle_h: 0
[12-16-24 10:48:33 pm] Player position: XYZ { x: 32, y: 12, z: 18 }, Player angle_h: 0
[12-16-24 10:48:33 pm] Player position: XYZ { x: 32, y: 12, z: 19 }, Player angle_h: 0
[12-16-24 10:48:33 pm] Player position: XYZ { x: 32, y: 12, z: 20 }, Player angle_h: 0
[12-16-24 10:48:33 pm] Player position: XYZ { x: 32, y: 2, z: 20 }, Player angle_h: 0
[12-16-24 10:48:34 pm] Player position: XYZ { x: 32, y: 2, z: 21 }, Player angle_h: 0
[12-16-24 10:48:34 pm] Player position: XYZ { x: 32, y: 2, z: 22 }, Player angle_h: 0
[12-16-24 10:48:34 pm] Player position: XYZ { x: 32, y: 2, z: 23 }, Player angle_h: 0
[12-16-24 10:48:34 pm] Player position: XYZ { x: 32, y: 2, z: 24 }, Player angle_h: 0
[12-16-24 10:48:34 pm] Player position: XYZ { x: 32, y: 2, z: 25 }, Player angle_h: 0
[12-16-24 10:48:34 pm] Player position: XYZ { x: 32, y: 2, z: 26 }, Player angle_h: 0
[12-16-24 10:48:34 pm] Player position: XYZ { x: 32, y: 2, z: 27 }, Player angle_h: 0
[12-16-24 10:48:34 pm] Player position: XYZ { x: 32, y: 2, z: 28 }, Player angle_h: 0
[12-16-24 10:48:34 pm] Player position: XYZ { x: 32, y: 2, z: 29 }, Player angle_h: 0
[12-16-24 10:48:35 pm] Player position: XYZ { x: 32, y: 2, z: 30 }, Player angle_h: 0
[12-16-24 10:48:35 pm] Player position: XYZ { x: 32, y: 2, z: 31 }, Player angle_h: 0
[12-16-24 10:48:35 pm] Player position: XYZ { x: 32, y: 2, z: 32 }, Player angle_h: 0
[12-16-24 10:48:35 pm] Player position: XYZ { x: 32, y: 2, z: 33 }, Player angle_h: 0
[12-16-24 10:48:35 pm] Player position: XYZ { x: 32, y: 2, z: 34 }, Player angle_h: 0
[12-16-24 10:48:35 pm] Player position: XYZ { x: 32, y: 2, z: 35 }, Player angle_h: 0
[12-16-24 10:48:35 pm] Player position: XYZ { x: 32, y: 2, z: 36 }, Player angle_h: 0
[12-16-24 10:48:35 pm] Player position: XYZ { x: 32, y: 2, z: 37 }, Player angle_h: 0
[12-16-24 10:48:35 pm] Player position: XYZ { x: 32, y: 2, z: 38 }, Player angle_h: 0
[12-16-24 10:48:35 pm] Player position: XYZ { x: 32, y: 2, z: 39 }, Player angle_h: 0
[12-16-24 10:48:35 pm] Player position: XYZ { x: 32, y: 2, z: 40 }, Player angle_h: 0
[12-16-24 10:48:35 pm] Player position: XYZ { x: 32, y: 2, z: 41 }, Player angle_h: 0
[12-16-24 10:48:35 pm] Player position: XYZ { x: 32, y: 2, z: 42 }, Player angle_h: 0
[12-16-24 10:48:35 pm] Player position: XYZ { x: 32, y: 2, z: 43 }, Player angle_h: 0
[12-16-24 10:48:35 pm] Player position: XYZ { x: 32, y: 2, z: 44 }, Player angle_h: 0
[12-16-24 10:48:35 pm] Player position: XYZ { x: 32, y: 2, z: 45 }, Player angle_h: 0
[12-16-24 10:48:35 pm] Player position: XYZ { x: 32, y: 2, z: 46 }, Player angle_h: 0
[12-16-24 10:48:35 pm] Player position: XYZ { x: 32, y: 2, z: 47 }, Player angle_h: 0
[12-16-24 10:48:35 pm] Player position: XYZ { x: 32, y: 2, z: 48 }, Player angle_h: 0
[12-16-24 10:48:35 pm] Player position: XYZ { x: 32, y: 2, z: 49 }, Player angle_h: 0
[12-16-24 10:48:35 pm] Player position: XYZ { x: 32, y: 2, z: 50 }, Player angle_h: 0
[12-16-24 10:48:35 pm] Player position: XYZ { x: 32, y: 2, z: 51 }, Player angle_h: 0
[12-16-24 10:48:35 pm] Player position: XYZ { x: 32, y: 2, z: 52 }, Player angle_h: 0
[12-16-24 10:48:35 pm] Player position: XYZ { x: 32, y: 2, z: 53 }, Player angle_h: 0
[12-16-24 10:48:35 pm] Player position: XYZ { x: 32, y: 2, z: 54 }, Player angle_h: 0
[12-16-24 10:48:36 pm] Player position: XYZ { x: 32, y: 2, z: 55 }, Player angle_h: 0
[12-16-24 10:48:36 pm] Player position: XYZ { x: 32, y: 2, z: 56 }, Player angle_h: 0
[12-16-24 10:48:36 pm] Player position: XYZ { x: 32, y: 2, z: 57 }, Player angle_h: 0
[12-16-24 10:48:36 pm] Player position: XYZ { x: 32, y: 2, z: 58 }, Player angle_h: 0
[12-16-24 10:48:36 pm] Player position: XYZ { x: 32, y: 2, z: 59 }, Player angle_h: 0
[12-16-24 10:48:36 pm] Player position: XYZ { x: 32, y: 2, z: 60 }, Player angle_h: 0
[12-16-24 10:48:36 pm] Player position: XYZ { x: 32, y: 2, z: 61 }, Player angle_h: 0
[12-16-24 10:48:36 pm] Player position: XYZ { x: 32, y: 2, z: 62 }, Player angle_h: 0
[12-16-24 10:48:36 pm] Player position: XYZ { x: 32, y: 2, z: 63 }, Player angle_h: 0
[12-16-24 10:48:36 pm] Player position: XYZ { x: 32, y: 2, z: 64 }, Player angle_h: 0
[12-16-24 10:48:36 pm] Player position: XYZ { x: 32, y: 2, z: 65 }, Player angle_h: 0
[12-16-24 10:48:36 pm] Player position: XYZ { x: 32, y: 2, z: 66 }, Player angle_h: 0
[12-16-24 10:48:36 pm] Player position: XYZ { x: 32, y: 2, z: 67 }, Player angle_h: 0
[12-16-24 10:48:36 pm] Player position: XYZ { x: 32, y: 2, z: 68 }, Player angle_h: 0
[12-16-24 10:48:36 pm] Player position: XYZ { x: 32, y: 2, z: 69 }, Player angle_h: 0
[12-16-24 10:48:36 pm] Player position: XYZ { x: 32, y: 2, z: 70 }, Player angle_h: 0
[12-16-24 10:48:36 pm] Player position: XYZ { x: 32, y: 2, z: 71 }, Player angle_h: 0
[12-16-24 10:48:36 pm] Player position: XYZ { x: 32, y: 2, z: 72 }, Player angle_h: 0
[12-16-24 10:48:36 pm] Player position: XYZ { x: 32, y: 2, z: 73 }, Player angle_h: 0
[12-16-24 10:48:36 pm] Player position: XYZ { x: 32, y: 2, z: 74 }, Player angle_h: 0
[12-16-24 10:48:37 pm] Player position: XYZ { x: 32, y: 12, z: 74 }, Player angle_h: 0
[12-16-24 10:48:37 pm] Player position: XYZ { x: 32, y: 22, z: 74 }, Player angle_h: 0
[12-16-24 10:48:37 pm] Player position: XYZ { x: 32, y: 32, z: 74 }, Player angle_h: 0
[12-16-24 10:48:37 pm] Player position: XYZ { x: 32, y: 32, z: 74 }, Player angle_h: 1
[12-16-24 10:48:37 pm] Player position: XYZ { x: 32, y: 32, z: 74 }, Player angle_h: 2
[12-16-24 10:48:38 pm] Player position: XYZ { x: 32, y: 32, z: 74 }, Player angle_h: 3
[12-16-24 10:48:38 pm] Player position: XYZ { x: 32, y: 32, z: 74 }, Player angle_h: 4
[12-16-24 10:48:38 pm] Player position: XYZ { x: 38, y: 39, z: 74 }, Player angle_h: 4
