Log File Title: Timaeus Log
Date and Time: 12-17-24 06:32:54 pm
----------------------------------------
[12-17-24 06:32:55 pm] Player position: XYZ { x: 32, y: 32, z: 9 }, Player angle_h: 0
[12-17-24 06:32:56 pm] Player position: XYZ { x: 32, y: 32, z: 8 }, Player angle_h: 0
[12-17-24 06:32:56 pm] Player position: XYZ { x: 32, y: 32, z: 7 }, Player angle_h: 0
[12-17-24 06:32:56 pm] Player position: XYZ { x: 32, y: 32, z: 6 }, Player angle_h: 0
[12-17-24 06:32:56 pm] Player position: XYZ { x: 32, y: 32, z: 5 }, Player angle_h: 0
[12-17-24 06:32:56 pm] Player position: XYZ { x: 32, y: 32, z: 4 }, Player angle_h: 0
[12-17-24 06:32:56 pm] Player position: XYZ { x: 32, y: 32, z: 3 }, Player angle_h: 0
[12-17-24 06:32:56 pm] Player position: XYZ { x: 32, y: 32, z: 2 }, Player angle_h: 0
[12-17-24 06:32:56 pm] Player position: XYZ { x: 32, y: 32, z: 1 }, Player angle_h: 0
[12-17-24 06:32:56 pm] Player position: XYZ { x: 32, y: 32, z: 0 }, Player angle_h: 0
[12-17-24 06:32:56 pm] Player position: XYZ { x: 32, y: 32, z: -1 }, Player angle_h: 0
[12-17-24 06:32:56 pm] Player position: XYZ { x: 32, y: 32, z: -2 }, Player angle_h: 0
[12-17-24 06:32:56 pm] Player position: XYZ { x: 32, y: 32, z: -3 }, Player angle_h: 0
[12-17-24 06:32:56 pm] Player position: XYZ { x: 32, y: 32, z: -4 }, Player angle_h: 0
[12-17-24 06:32:56 pm] Player position: XYZ { x: 32, y: 32, z: -5 }, Player angle_h: 0
[12-17-24 06:32:56 pm] Player position: XYZ { x: 32, y: 32, z: -6 }, Player angle_h: 0
[12-17-24 06:32:56 pm] Player position: XYZ { x: 32, y: 32, z: -7 }, Player angle_h: 0
[12-17-24 06:32:56 pm] Player position: XYZ { x: 32, y: 32, z: -8 }, Player angle_h: 0
[12-17-24 06:32:56 pm] Player position: XYZ { x: 32, y: 32, z: -9 }, Player angle_h: 0
[12-17-24 06:32:57 pm] Player position: XYZ { x: 32, y: 32, z: -10 }, Player angle_h: 0
[12-17-24 06:32:57 pm] Player position: XYZ { x: 32, y: 32, z: -11 }, Player angle_h: 0
[12-17-24 06:32:57 pm] Player position: XYZ { x: 32, y: 32, z: -12 }, Player angle_h: 0
[12-17-24 06:32:57 pm] Player position: XYZ { x: 32, y: 32, z: -12 }, Player angle_h: 35
[12-17-24 06:32:57 pm] Player position: XYZ { x: 41, y: 33, z: -12 }, Player angle_h: 35
[12-17-24 06:32:58 pm] Player position: XYZ { x: 50, y: 34, z: -12 }, Player angle_h: 35
[12-17-24 06:32:58 pm] Player position: XYZ { x: 59, y: 35, z: -12 }, Player angle_h: 35
[12-17-24 06:32:58 pm] Player position: XYZ { x: 68, y: 36, z: -12 }, Player angle_h: 35
[12-17-24 06:32:58 pm] Player position: XYZ { x: 68, y: 36, z: -12 }, Player angle_h: 0
[12-17-24 06:32:59 pm] Player position: XYZ { x: 68, y: 36, z: -13 }, Player angle_h: 0
[12-17-24 06:32:59 pm] Player position: XYZ { x: 68, y: 36, z: -13 }, Player angle_h: 1
[12-17-24 06:33:00 pm] Player position: XYZ { x: 69, y: 45, z: -13 }, Player angle_h: 1
[12-17-24 06:33:00 pm] Player position: XYZ { x: 70, y: 54, z: -13 }, Player angle_h: 1
[12-17-24 06:33:00 pm] Player position: XYZ { x: 71, y: 63, z: -13 }, Player angle_h: 1
[12-17-24 06:33:01 pm] Player position: XYZ { x: 71, y: 63, z: -13 }, Player angle_h: 0
[12-17-24 06:33:01 pm] Player position: XYZ { x: 71, y: 53, z: -13 }, Player angle_h: 0
[12-17-24 06:33:01 pm] Player position: XYZ { x: 71, y: 43, z: -13 }, Player angle_h: 0
[12-17-24 06:33:01 pm] Player position: XYZ { x: 71, y: 33, z: -13 }, Player angle_h: 0
[12-17-24 06:33:02 pm] Player position: XYZ { x: 71, y: 23, z: -13 }, Player angle_h: 0
[12-17-24 06:33:02 pm] Player position: XYZ { x: 71, y: 13, z: -13 }, Player angle_h: 0
[12-17-24 06:33:02 pm] Player position: XYZ { x: 71, y: 3, z: -13 }, Player angle_h: 0
[12-17-24 06:33:03 pm] Player position: XYZ { x: 81, y: 3, z: -13 }, Player angle_h: 0
[12-17-24 06:33:03 pm] Player position: XYZ { x: 91, y: 3, z: -13 }, Player angle_h: 0
[12-17-24 06:33:03 pm] Player position: XYZ { x: 91, y: 13, z: -13 }, Player angle_h: 0
[12-17-24 06:33:04 pm] Player position: XYZ { x: 91, y: 23, z: -13 }, Player angle_h: 0
[12-17-24 06:33:04 pm] Player position: XYZ { x: 91, y: 33, z: -13 }, Player angle_h: 0
