Log File Title: Timaeus Log
Date and Time: 12-17-24 07:05:06 pm
----------------------------------------
[12-17-24 07:05:07 pm] Player position: XYZ { x: 32, y: 32, z: 9 }, Player angle_h: 0
[12-17-24 07:05:07 pm] Player position: XYZ { x: 32, y: 32, z: 8 }, Player angle_h: 0
[12-17-24 07:05:07 pm] Player position: XYZ { x: 32, y: 32, z: 7 }, Player angle_h: 0
[12-17-24 07:05:07 pm] Player position: XYZ { x: 32, y: 32, z: 6 }, Player angle_h: 0
[12-17-24 07:05:07 pm] Player position: XYZ { x: 32, y: 32, z: 5 }, Player angle_h: 0
[12-17-24 07:05:07 pm] Player position: XYZ { x: 32, y: 32, z: 4 }, Player angle_h: 0
[12-17-24 07:05:07 pm] Player position: XYZ { x: 32, y: 32, z: 3 }, Player angle_h: 0
[12-17-24 07:05:07 pm] Player position: XYZ { x: 32, y: 32, z: 2 }, Player angle_h: 0
[12-17-24 07:05:07 pm] Player position: XYZ { x: 32, y: 32, z: 1 }, Player angle_h: 0
[12-17-24 07:05:08 pm] Player position: XYZ { x: 32, y: 32, z: 0 }, Player angle_h: 0
[12-17-24 07:05:08 pm] Player position: XYZ { x: 32, y: 32, z: -1 }, Player angle_h: 0
[12-17-24 07:05:08 pm] Player position: XYZ { x: 32, y: 32, z: -2 }, Player angle_h: 0
[12-17-24 07:05:08 pm] Player position: XYZ { x: 32, y: 32, z: -3 }, Player angle_h: 0
[12-17-24 07:05:08 pm] Player position: XYZ { x: 32, y: 32, z: -4 }, Player angle_h: 0
[12-17-24 07:05:08 pm] Player position: XYZ { x: 32, y: 32, z: -5 }, Player angle_h: 0
[12-17-24 07:05:08 pm] Player position: XYZ { x: 32, y: 32, z: -6 }, Player angle_h: 0
[12-17-24 07:05:08 pm] Player position: XYZ { x: 32, y: 32, z: -7 }, Player angle_h: 0
[12-17-24 07:05:08 pm] Player position: XYZ { x: 32, y: 32, z: -8 }, Player angle_h: 0
[12-17-24 07:05:08 pm] Player position: XYZ { x: 32, y: 32, z: -9 }, Player angle_h: 0
[12-17-24 07:05:08 pm] Player position: XYZ { x: 32, y: 32, z: -10 }, Player angle_h: 0
[12-17-24 07:05:08 pm] Player position: XYZ { x: 32, y: 32, z: -11 }, Player angle_h: 0
[12-17-24 07:05:08 pm] Player position: XYZ { x: 32, y: 32, z: -12 }, Player angle_h: 0
[12-17-24 07:05:08 pm] Player position: XYZ { x: 32, y: 32, z: -13 }, Player angle_h: 0
[12-17-24 07:05:08 pm] Player position: XYZ { x: 32, y: 32, z: -14 }, Player angle_h: 0
[12-17-24 07:05:08 pm] Player position: XYZ { x: 32, y: 32, z: -15 }, Player angle_h: 0
[12-17-24 07:05:08 pm] Player position: XYZ { x: 32, y: 32, z: -16 }, Player angle_h: 0
[12-17-24 07:05:08 pm] Player position: XYZ { x: 32, y: 32, z: -17 }, Player angle_h: 0
[12-17-24 07:05:08 pm] Player position: XYZ { x: 32, y: 32, z: -18 }, Player angle_h: 0
[12-17-24 07:05:08 pm] Player position: XYZ { x: 32, y: 32, z: -19 }, Player angle_h: 0
[12-17-24 07:05:08 pm] Player position: XYZ { x: 32, y: 32, z: -20 }, Player angle_h: 0
[12-17-24 07:05:08 pm] Player position: XYZ { x: 32, y: 32, z: -21 }, Player angle_h: 0
[12-17-24 07:05:08 pm] Player position: XYZ { x: 32, y: 32, z: -22 }, Player angle_h: 0
[12-17-24 07:05:09 pm] Player position: XYZ { x: 32, y: 22, z: -22 }, Player angle_h: 0
[12-17-24 07:05:09 pm] Player position: XYZ { x: 32, y: 12, z: -22 }, Player angle_h: 0
[12-17-24 07:05:09 pm] Player position: XYZ { x: 32, y: 2, z: -22 }, Player angle_h: 0
[12-17-24 07:05:09 pm] Player position: XYZ { x: 32, y: -8, z: -22 }, Player angle_h: 0
[12-17-24 07:05:10 pm] Player position: XYZ { x: 32, y: -8, z: -22 }, Player angle_h: 1
[12-17-24 07:05:10 pm] Player position: XYZ { x: 31, y: -17, z: -22 }, Player angle_h: 1
[12-17-24 07:05:10 pm] Player position: XYZ { x: 30, y: -26, z: -22 }, Player angle_h: 1
[12-17-24 07:05:11 pm] Player position: XYZ { x: 29, y: -35, z: -22 }, Player angle_h: 1
[12-17-24 07:05:11 pm] Player position: XYZ { x: 28, y: -44, z: -22 }, Player angle_h: 1
[12-17-24 07:05:11 pm] Player position: XYZ { x: 27, y: -53, z: -22 }, Player angle_h: 1
[12-17-24 07:05:12 pm] Player position: XYZ { x: 27, y: -53, z: -22 }, Player angle_h: 0
[12-17-24 07:05:12 pm] Player position: XYZ { x: 37, y: -53, z: -22 }, Player angle_h: 0
[12-17-24 07:05:12 pm] Player position: XYZ { x: 47, y: -53, z: -22 }, Player angle_h: 0
[12-17-24 07:05:12 pm] Player position: XYZ { x: 57, y: -53, z: -22 }, Player angle_h: 0
[12-17-24 07:05:12 pm] Player position: XYZ { x: 57, y: -53, z: -22 }, Player angle_h: 35
[12-17-24 07:05:13 pm] Player position: XYZ { x: 57, y: -53, z: -22 }, Player angle_h: 34
[12-17-24 07:05:14 pm] Player position: XYZ { x: 57, y: -53, z: -23 }, Player angle_h: 34
[12-17-24 07:05:14 pm] Player position: XYZ { x: 54, y: -44, z: -23 }, Player angle_h: 34
[12-17-24 07:05:14 pm] Player position: XYZ { x: 51, y: -35, z: -23 }, Player angle_h: 34
[12-17-24 07:05:14 pm] Player position: XYZ { x: 48, y: -26, z: -23 }, Player angle_h: 34
[12-17-24 07:05:15 pm] Player position: XYZ { x: 45, y: -17, z: -23 }, Player angle_h: 34
[12-17-24 07:05:15 pm] Player position: XYZ { x: 45, y: -17, z: -23 }, Player angle_h: 35
[12-17-24 07:05:15 pm] Player position: XYZ { x: 45, y: -17, z: -23 }, Player angle_h: 0
[12-17-24 07:05:15 pm] Player position: XYZ { x: 45, y: -17, z: -23 }, Player angle_h: 1
[12-17-24 07:05:16 pm] Player position: XYZ { x: 46, y: -8, z: -23 }, Player angle_h: 1
[12-17-24 07:05:16 pm] Player position: XYZ { x: 47, y: 1, z: -23 }, Player angle_h: 1
[12-17-24 07:05:17 pm] Player position: XYZ { x: 48, y: 10, z: -23 }, Player angle_h: 1
[12-17-24 07:05:17 pm] Player position: XYZ { x: 49, y: 19, z: -23 }, Player angle_h: 1
[12-17-24 07:05:17 pm] Player position: XYZ { x: 50, y: 28, z: -23 }, Player angle_h: 1
[12-17-24 07:05:17 pm] Player position: XYZ { x: 51, y: 37, z: -23 }, Player angle_h: 1
[12-17-24 07:05:17 pm] Player position: XYZ { x: 52, y: 46, z: -23 }, Player angle_h: 1
[12-17-24 07:05:18 pm] Player position: XYZ { x: 53, y: 55, z: -23 }, Player angle_h: 1
[12-17-24 07:05:18 pm] Player position: XYZ { x: 54, y: 64, z: -23 }, Player angle_h: 1
