Log File Title: Timaeus Log
Date and Time: 12-17-24 12:00:48 am
----------------------------------------
[12-17-24 12:00:59 am] Player position: XYZ { x: 131, y: -25, z: 53 }, Player angle_h: 34
[12-17-24 12:00:59 am] Player position: XYZ { x: 134, y: -34, z: 53 }, Player angle_h: 34
[12-17-24 12:00:59 am] Player position: XYZ { x: 137, y: -43, z: 53 }, Player angle_h: 34
[12-17-24 12:00:59 am] Player position: XYZ { x: 140, y: -52, z: 53 }, Player angle_h: 34
[12-17-24 12:00:59 am] Player position: XYZ { x: 140, y: -52, z: 53 }, Player angle_h: 33
[12-17-24 12:01:00 am] Player position: XYZ { x: 140, y: -52, z: 53 }, Player angle_h: 32
[12-17-24 12:01:00 am] Player position: XYZ { x: 140, y: -52, z: 52 }, Player angle_h: 32
[12-17-24 12:01:01 am] Player position: XYZ { x: 140, y: -52, z: 51 }, Player angle_h: 32
[12-17-24 12:01:01 am] Player position: XYZ { x: 140, y: -52, z: 50 }, Player angle_h: 32
[12-17-24 12:01:01 am] Player position: XYZ { x: 140, y: -52, z: 49 }, Player angle_h: 32
[12-17-24 12:01:01 am] Player position: XYZ { x: 140, y: -52, z: 48 }, Player angle_h: 32
[12-17-24 12:01:01 am] Player position: XYZ { x: 140, y: -52, z: 47 }, Player angle_h: 32
[12-17-24 12:01:01 am] Player position: XYZ { x: 140, y: -52, z: 46 }, Player angle_h: 32
[12-17-24 12:01:01 am] Player position: XYZ { x: 140, y: -52, z: 45 }, Player angle_h: 32
[12-17-24 12:01:01 am] Player position: XYZ { x: 140, y: -52, z: 44 }, Player angle_h: 32
[12-17-24 12:01:01 am] Player position: XYZ { x: 140, y: -52, z: 43 }, Player angle_h: 32
[12-17-24 12:01:01 am] Player position: XYZ { x: 140, y: -52, z: 42 }, Player angle_h: 32
[12-17-24 12:01:01 am] Player position: XYZ { x: 140, y: -52, z: 41 }, Player angle_h: 32
[12-17-24 12:01:01 am] Player position: XYZ { x: 140, y: -52, z: 40 }, Player angle_h: 32
[12-17-24 12:01:01 am] Player position: XYZ { x: 140, y: -52, z: 39 }, Player angle_h: 32
[12-17-24 12:01:01 am] Player position: XYZ { x: 140, y: -52, z: 38 }, Player angle_h: 32
[12-17-24 12:01:01 am] Player position: XYZ { x: 140, y: -52, z: 37 }, Player angle_h: 32
[12-17-24 12:01:01 am] Player position: XYZ { x: 140, y: -52, z: 36 }, Player angle_h: 32
[12-17-24 12:01:01 am] Player position: XYZ { x: 140, y: -52, z: 35 }, Player angle_h: 32
[12-17-24 12:01:01 am] Player position: XYZ { x: 140, y: -52, z: 34 }, Player angle_h: 32
[12-17-24 12:01:01 am] Player position: XYZ { x: 140, y: -52, z: 33 }, Player angle_h: 32
[12-17-24 12:01:01 am] Player position: XYZ { x: 140, y: -52, z: 32 }, Player angle_h: 32
[12-17-24 12:01:01 am] Player position: XYZ { x: 140, y: -52, z: 31 }, Player angle_h: 32
[12-17-24 12:01:01 am] Player position: XYZ { x: 140, y: -52, z: 30 }, Player angle_h: 32
[12-17-24 12:01:01 am] Player position: XYZ { x: 140, y: -52, z: 29 }, Player angle_h: 32
[12-17-24 12:01:01 am] Player position: XYZ { x: 140, y: -52, z: 28 }, Player angle_h: 32
[12-17-24 12:01:02 am] Player position: XYZ { x: 140, y: -52, z: 27 }, Player angle_h: 32
[12-17-24 12:01:02 am] Player position: XYZ { x: 140, y: -52, z: 26 }, Player angle_h: 32
[12-17-24 12:01:02 am] Player position: XYZ { x: 140, y: -52, z: 25 }, Player angle_h: 32
[12-17-24 12:01:02 am] Player position: XYZ { x: 140, y: -52, z: 24 }, Player angle_h: 32
[12-17-24 12:01:02 am] Player position: XYZ { x: 140, y: -52, z: 23 }, Player angle_h: 32
[12-17-24 12:01:02 am] Player position: XYZ { x: 140, y: -52, z: 22 }, Player angle_h: 32
[12-17-24 12:01:02 am] Player position: XYZ { x: 140, y: -52, z: 21 }, Player angle_h: 32
[12-17-24 12:01:02 am] Player position: XYZ { x: 140, y: -52, z: 20 }, Player angle_h: 32
[12-17-24 12:01:02 am] Player position: XYZ { x: 140, y: -52, z: 19 }, Player angle_h: 32
[12-17-24 12:01:02 am] Player position: XYZ { x: 140, y: -52, z: 18 }, Player angle_h: 32
[12-17-24 12:01:02 am] Player position: XYZ { x: 140, y: -52, z: 17 }, Player angle_h: 32
[12-17-24 12:01:02 am] Player position: XYZ { x: 140, y: -52, z: 16 }, Player angle_h: 32
[12-17-24 12:01:02 am] Player position: XYZ { x: 140, y: -52, z: 15 }, Player angle_h: 32
[12-17-24 12:01:02 am] Player position: XYZ { x: 140, y: -52, z: 14 }, Player angle_h: 32
[12-17-24 12:01:02 am] Player position: XYZ { x: 140, y: -52, z: 13 }, Player angle_h: 32
[12-17-24 12:01:02 am] Player position: XYZ { x: 140, y: -52, z: 12 }, Player angle_h: 32
[12-17-24 12:01:02 am] Player position: XYZ { x: 140, y: -52, z: 11 }, Player angle_h: 32
[12-17-24 12:01:02 am] Player position: XYZ { x: 140, y: -52, z: 10 }, Player angle_h: 32
[12-17-24 12:01:02 am] Player position: XYZ { x: 140, y: -52, z: 9 }, Player angle_h: 32
[12-17-24 12:01:02 am] Player position: XYZ { x: 140, y: -52, z: 8 }, Player angle_h: 32
[12-17-24 12:01:02 am] Player position: XYZ { x: 140, y: -52, z: 7 }, Player angle_h: 32
[12-17-24 12:01:02 am] Player position: XYZ { x: 140, y: -52, z: 6 }, Player angle_h: 32
[12-17-24 12:01:02 am] Player position: XYZ { x: 140, y: -52, z: 5 }, Player angle_h: 32
[12-17-24 12:01:02 am] Player position: XYZ { x: 140, y: -52, z: 4 }, Player angle_h: 32
[12-17-24 12:01:03 am] Player position: XYZ { x: 140, y: -52, z: 3 }, Player angle_h: 32
[12-17-24 12:01:03 am] Player position: XYZ { x: 140, y: -52, z: 2 }, Player angle_h: 32
[12-17-24 12:01:03 am] Player position: XYZ { x: 140, y: -52, z: 1 }, Player angle_h: 32
[12-17-24 12:01:03 am] Player position: XYZ { x: 140, y: -52, z: 0 }, Player angle_h: 32
[12-17-24 12:01:03 am] Player position: XYZ { x: 140, y: -52, z: -1 }, Player angle_h: 32
[12-17-24 12:01:03 am] Player position: XYZ { x: 140, y: -52, z: -2 }, Player angle_h: 32
[12-17-24 12:01:03 am] Player position: XYZ { x: 140, y: -52, z: -3 }, Player angle_h: 32
[12-17-24 12:01:03 am] Player position: XYZ { x: 140, y: -52, z: -4 }, Player angle_h: 32
[12-17-24 12:01:03 am] Player position: XYZ { x: 140, y: -52, z: -5 }, Player angle_h: 32
[12-17-24 12:01:03 am] Player position: XYZ { x: 140, y: -52, z: -6 }, Player angle_h: 32
[12-17-24 12:01:03 am] Player position: XYZ { x: 140, y: -52, z: -7 }, Player angle_h: 32
[12-17-24 12:01:03 am] Player position: XYZ { x: 140, y: -52, z: -8 }, Player angle_h: 32
[12-17-24 12:01:03 am] Player position: XYZ { x: 140, y: -52, z: -9 }, Player angle_h: 32
[12-17-24 12:01:03 am] Player position: XYZ { x: 140, y: -52, z: -10 }, Player angle_h: 32
[12-17-24 12:01:03 am] Player position: XYZ { x: 140, y: -52, z: -11 }, Player angle_h: 32
[12-17-24 12:01:03 am] Player position: XYZ { x: 140, y: -52, z: -12 }, Player angle_h: 32
[12-17-24 12:01:03 am] Player position: XYZ { x: 140, y: -52, z: -13 }, Player angle_h: 32
[12-17-24 12:01:03 am] Player position: XYZ { x: 140, y: -52, z: -14 }, Player angle_h: 32
[12-17-24 12:01:03 am] Player position: XYZ { x: 140, y: -52, z: -15 }, Player angle_h: 32
[12-17-24 12:01:03 am] Player position: XYZ { x: 140, y: -52, z: -16 }, Player angle_h: 32
[12-17-24 12:01:03 am] Player position: XYZ { x: 140, y: -52, z: -17 }, Player angle_h: 32
[12-17-24 12:01:03 am] Player position: XYZ { x: 140, y: -52, z: -18 }, Player angle_h: 32
[12-17-24 12:01:03 am] Player position: XYZ { x: 140, y: -52, z: -19 }, Player angle_h: 32
[12-17-24 12:01:03 am] Player position: XYZ { x: 140, y: -52, z: -20 }, Player angle_h: 32
[12-17-24 12:01:03 am] Player position: XYZ { x: 140, y: -52, z: -21 }, Player angle_h: 32
[12-17-24 12:01:04 am] Player position: XYZ { x: 140, y: -52, z: -22 }, Player angle_h: 32
[12-17-24 12:01:04 am] Player position: XYZ { x: 140, y: -52, z: -23 }, Player angle_h: 32
[12-17-24 12:01:04 am] Player position: XYZ { x: 140, y: -52, z: -24 }, Player angle_h: 32
[12-17-24 12:01:04 am] Player position: XYZ { x: 140, y: -52, z: -25 }, Player angle_h: 32
[12-17-24 12:01:04 am] Player position: XYZ { x: 140, y: -52, z: -26 }, Player angle_h: 32
[12-17-24 12:01:04 am] Player position: XYZ { x: 140, y: -52, z: -27 }, Player angle_h: 32
